	boundEGFReceptorKnockdown	SosActiveKnockdown	RasActiveKnockdown	Raf1ActiveKnockdown	MekActiveKnockdown	ErkActiveKnockdown	P90RskActiveKnockdown	PI3KActiveKnockdown	AktActiveKnockdown	C3GActiveKnockdown	Rap1ActiveKnockdown	bRafActiveKnockdown
boundEGFReceptor	-0.6667329617797311	-0.00010545223117942767	1.1134651230013202e-05	-4.4667696383436645e-05	-4.048813952814198e-05	-9.136210018518358e-05	-2.4488979615753925e-08	-2.503521681200888e-05	-4.157490869775592e-05	-6.340807138984367e-06	-6.333670538444602e-08	-0.00011761229079692527
SosActive	-0.6661875160348867	-0.6579699578855749	0.0002518064454238632	0.0002688954931713757	0.010062014216094943	0.22717684639122956	0.6491169703393748	0.010843609306156448	0.0001890850231717494	0.00010230483430700396	0.0018222112945788618	0.0011052382274722504
RasActive	-0.0015532569083278375	6.735774085439316e-05	-0.6666902717751345	9.368961126169746e-05	-0.0007319477966458704	0.0008462880571921718	-0.00017574274430790516	-0.0004163114444423607	-8.429872961125272e-05	-2.5872218449928186e-05	0.0022282743967266165	-0.0010390772058731597
Raf1Active	0.007703551687284348	0.00029964951374615654	-0.8106692006768705	-0.3887915050719175	-0.001912471005106735	4.909407402033885e-06	0.0007622620615255334	0.3203088534356955	0.6587572565439688	-3.496564144430556e-05	0.006886118502311618	-0.0013066453208772217
MekActive	0.00018559312557490224	-3.99161371110457e-05	-0.012293501093855387	-0.0012050473645168075	-0.6874106059037512	6.702290178851938e-05	-1.3592412514187056e-05	0.0007231790467481907	0.0032655074546701214	-3.822666333162202e-05	-0.00042094630809661523	-0.0738527945507967
ErkActive	0.00019268920216519844	-5.985874767404654e-05	-0.0006940096662968741	-0.00016991549178326076	-0.0507861660601904	-0.6692195915900423	-7.347753778654647e-05	-0.0006982544274180451	0.00026072330213778287	-9.684225448025647e-05	-0.0007942775448310026	-0.003949104088370421
P90RskActive	-0.00032012479844252306	-0.0002521219268624764	-0.00030002848727037816	-0.0001774873974094517	-0.012577181065926927	-0.23092964834390114	-0.6626850318638206	-0.00046529011976819724	-0.00019031675851225344	-0.0001480852831194267	-0.005083473132780876	-0.0014054032750016737
PI3KActive	-0.027773246210595754	-4.208754961144342e-06	-0.02917918003341957	-9.507117342907283e-05	-0.0006967374300302535	-0.001219525322477365	0.00030396073343510273	-0.6690850510706501	0.0002480581259476054	6.056255490105613e-06	0.0008008937027082024	8.537326692971046e-05
AktActive	-0.010105486172951728	0.00021203787464374108	-0.011197984481080985	8.745609822434927e-05	-2.0817855553654368e-05	0.0011418884351046155	-0.00023271410483722703	-0.3273268447092455	-0.6565981286598459	1.4062574474489565e-05	0.0058446737725633595	0.000128152958768046
C3GActive	-0.6570436089603379	-4.4992281003462107e-07	-1.4227084079309835e-10	-1.2927308511488444e-07	-8.101599798296837e-08	-4.247209204744354e-07	7.642074099703381e-10	-4.2814633967467436e-08	-1.0016824521224366e-07	-0.6583890601870254	-2.209015557513497e-09	-5.812662586628999e-07
Rap1Active	-0.6567617786055064	-2.1824119597624522e-08	-4.371067387959359e-10	-1.3271400774267378e-08	-4.8718565494014566e-09	-8.350300387303571e-08	-4.7493631435114886e-09	3.042010911801746e-09	-8.123868336830526e-09	-0.6581072475992968	-0.20840259214228138	-1.6281834761649192e-07
bRafActive	-0.00015299574496365303	-1.7452135146852824e-05	-0.1370435078210727	-4.757220534739691e-05	-5.556353708244597e-06	-9.497832382442714e-05	-6.91335142143517e-05	-0.0002068788855248319	7.335269138013992e-05	-0.00026257840892508506	-0.000729716208472166	-0.7498786530709983
