	boundEGFReceptor	SosActive	RasActive	Raf1Active	MekActive	ErkActive	P90RskActive	PI3KActive	AktActive	C3GActive	Rap1Active	bRafActive
boundEGFReceptor	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SosActive	0.9997124084667149	-1.0	-0.0	-0.0	-0.0	-0.0	-0.9836284264184458	-0.0	-0.0	-0.0	-0.0	-0.0
RasActive	-0.0	0.9999902120732757	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Raf1Active	-0.0	-0.0	1.000111439572006	-1.0	-0.0	-0.0	-0.0	-0.0	-0.39752991445440833	-0.0	-0.0	-0.0
MekActive	-0.0	-0.0	-0.0	1.0815342450989363e-07	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.06612419866909444
ErkActive	-0.0	-0.0	-0.0	-0.0	0.048266786114204936	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
P90RskActive	-0.0	-0.0	-0.0	-0.0	-0.0	0.25176979532297405	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
PI3KActive	0.17420814815112115	-0.0	1.3414232856204158e-05	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
AktActive	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.3951575420727794	-1.0	-0.0	-0.0	-0.0
C3GActive	0.9784771561220544	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
Rap1Active	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.99935957864993	-1.0	-0.0
bRafActive	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-1.0
