	boundEGFReceptorKnockdown	SosActiveKnockdown	RasActiveKnockdown	Raf1ActiveKnockdown	MekActiveKnockdown	ErkActiveKnockdown	P90RskActiveKnockdown	PI3KActiveKnockdown	AktActiveKnockdown	C3GActiveKnockdown	Rap1ActiveKnockdown	bRafActiveKnockdown
boundEGFReceptor	-0.6666721114735297	-0.00010006362061696893	-4.4751285148343074e-05	2.2332202254265655e-05	-9.111445401980854e-06	-9.804807484225799e-06	-1.2558979542854038e-05	-6.373675129161005e-07	-0.00010892821463357004	-1.9794992975606976e-05	-3.082325115933657e-05	-9.26912417063377e-06
SosActive	-0.6665400983333385	-0.6580863468523229	-2.867686371052722e-05	7.8953248707228e-06	0.012899156585973319	0.2268944141257932	0.6490255876361565	4.411170604787847e-07	-7.545820188627335e-05	-7.219115159053245e-06	-1.4613011496165574e-05	0.0008267029740048526
RasActive	-0.6665343515580073	-0.658048747092053	-0.2067486435686543	1.0140780816655887e-07	0.012901021263010954	0.22690056918752458	0.649024525525357	-2.082507076571688e-06	-1.868241248489112e-05	1.8872528508213746e-06	-5.344172694454618e-06	0.0008300398148520481
Raf1Active	-0.6423965190616392	-0.657306784030838	-0.20483719876477435	-0.29569375028428013	0.012985482419512535	0.22822352013121214	0.6490636628074005	0.12063727575230518	0.21856846610263939	-0.0011576871670183212	0.004981583165797101	0.0006797593401281498
MekActive	1.3367345260375336e-08	5.490613736992067e-08	-1.205862414087113e-07	1.0807015072591041e-07	-0.6865939531414164	1.9195574826023993e-07	1.8026350904796525e-07	1.2468843103362672e-07	1.687115532181896e-07	-3.4422273060533665e-07	4.09288676927848e-08	-0.06661213548528984
ErkActive	-2.1047453330166242e-08	-2.4574349801024043e-07	-3.5782355408930295e-08	-3.557353173104737e-07	-0.05085963479908375	-0.6692437965598146	-3.858308337691439e-07	1.136142902181907e-08	1.713066891148583e-07	6.021255745664456e-08	-3.1714412076952727e-07	-0.003330950295476759
P90RskActive	1.4766440846339385e-06	-4.796490639996484e-05	-2.941076137283125e-05	2.8870423313159094e-06	-0.013105611823677388	-0.23085630234047	-0.662552097709761	-1.0175288928501963e-07	-7.780812244170921e-05	-3.2688181269057042e-06	-1.7372624366456905e-05	-0.0008437741519953126
PI3KActive	-0.1694451584325109	-0.00014052551029731757	-0.000230837956124511	-0.0002536111473839216	0.00010644880038074118	0.00012558911334398397	8.69926535506076e-05	-0.6619733337838898	4.130964619948075e-05	-4.839608017329084e-05	-5.3502778414354076e-05	0.00010562734331030165
AktActive	-0.0713833597182528	0.00033990595074624924	0.00047225484671822165	0.0002557347169412169	-0.00010752115400896432	-0.00011477531248972577	-4.611116527831352e-05	-0.33556955306240094	-0.6547653134516469	5.271539945506772e-05	0.00018745416655153272	-0.00010597658590276514
C3GActive	-0.6570432688615757	-5.897142872966598e-07	-3.5545018810310923e-07	4.0044503370671494e-08	-1.5525012743195852e-08	-2.886813379235956e-08	-4.775528988519395e-08	1.00356488975721e-09	-9.581105068008141e-07	-0.6583890904789982	-3.391738036385059e-07	-1.6403658547872285e-08
Rap1Active	-0.6567617504760199	-9.642632373404422e-08	-6.423495483919859e-08	1.5141916953304967e-10	1.552211931693143e-10	-1.8176256345224938e-09	-5.956632186476773e-09	9.445257413003825e-11	-1.8494102553892373e-07	-0.6581072497459953	-0.20840264681056095	-6.5467448004845865e-12
bRafActive	-1.3068314407216905e-08	2.839648112634659e-08	-2.8508718068566722e-08	2.865884802651533e-08	3.148358325546848e-08	4.074492487404584e-08	-1.848218861107226e-09	-2.956954155952861e-08	2.188629895506431e-08	3.1867946131858804e-08	1.5836042261348982e-08	-0.6666666624156461
