	boundEGFReceptor	SosActive	RasActive	Raf1Active	MekActive	ErkActive	P90RskActive	PI3KActive	AktActive	C3GActive	Rap1Active	bRafActive
boundEGFReceptor	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SosActive	0.9523116224941831	-1.0	-0.0	-0.0	-0.0	-0.0	-0.9360010353266757	-0.0	-0.0	-0.0	-0.0	-0.0
RasActive	-0.0	0.9983632329516217	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Raf1Active	-0.0	-0.0	1.0170602475841353	-1.0	-0.0	-0.0	-0.0	-0.0	-0.42731216446540005	-0.0	-0.0	-0.0
MekActive	-0.0	-0.0	-0.0	0.010452306511358398	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.9740363502101369
ErkActive	-0.0	-0.0	-0.0	-0.0	0.2850461647689016	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
P90RskActive	-0.0	-0.0	-0.0	-0.0	-0.0	0.30241281556554966	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
PI3KActive	0.0010818479167681782	-0.0	8.634191805091575e-08	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
AktActive	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.35154823816834607	-1.0	-0.0	-0.0	-0.0
C3GActive	0.21618812701037518	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
Rap1Active	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.9674114356784934	-1.0	-0.0
bRafActive	-0.0	-0.0	0.245397191859962	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	3.4131628244834156	-1.0
