	boundEGFReceptorKnockdown	SosActiveKnockdown	RasActiveKnockdown	Raf1ActiveKnockdown	MekActiveKnockdown	ErkActiveKnockdown	P90RskActiveKnockdown	PI3KActiveKnockdown	AktActiveKnockdown	C3GActiveKnockdown	Rap1ActiveKnockdown	bRafActiveKnockdown
boundEGFReceptor	-0.6666501057759445	-5.2285208277659617e-05	5.802993435305612e-05	9.732327684081166e-06	1.112074424367643e-05	-1.0729330402810086e-06	5.802993435339718e-05	7.373061083180099e-06	1.4884311140008479e-05	-0.0001432072718597669	1.1712961139077429e-05	2.7689939988658893e-05
SosActive	-0.6665496001200594	-0.6583023854576934	0.00014197410781954033	-9.382934305465651e-05	0.012938120506554995	0.22654455249958894	0.6490224163800482	-8.209890489422425e-05	-0.0007814605432577606	-0.00037063706091860295	2.1379341184508453e-06	0.0012073008181175224
RasActive	0.0005139838441359647	0.0002703343648866399	-0.6663711331515325	0.0004605722592344664	0.00033047910361873605	0.00021418784334087504	0.0003324567822530955	0.0003658678795289459	0.0003281987830167855	0.00014541393918940986	0.00013228546772844639	-0.0007522076522650619
Raf1Active	0.0074825287451963695	0.00019021482370610722	-0.8102591007144561	-0.38708987948571577	0.0005481410191808593	-0.00011350367382469166	0.000552007874868628	0.3270962979212339	0.6595281317884821	-0.00044549220887872874	-0.00015545584335606297	0.005147449055943461
MekActive	0.0003327566592106633	0.00010220385869213673	-0.012200868678530638	-0.000947690619209358	-0.6872168864905177	7.699134686003095e-05	6.953377773022581e-05	0.0014123174195290402	0.003391839277622463	-2.1804170839996337e-06	7.364926288311473e-05	-0.07403920022500052
ErkActive	-0.000271966242631708	-8.701853146609884e-05	-0.0006397219219387823	0.0015512486631676409	-0.051107445260352796	-0.669304155987034	-4.168998802232259e-05	8.317901449430606e-05	0.00012246812992928105	-6.057924950411313e-05	-1.257405003137013e-06	-0.003949912251444079
P90RskActive	-3.9769279235471495e-05	0.0003643135752843708	-0.00017320291914764345	-0.0003883217423669666	-0.013189540771291308	-0.23091176818930362	-0.6625669140077993	5.3643932139949986e-05	9.459596488794417e-06	0.0004195320848628642	-8.27837218712378e-05	-0.0012687444271967361
PI3KActive	-0.02290111393589573	0.00044694406412241474	-0.028751491371176593	0.0007601307476986407	0.0004216214856973662	0.00036400734233321767	0.0009718055799939703	-0.6689985782365361	0.0008313282438778535	0.00045482831523807626	0.00023764099862887594	0.0011354158242505607
AktActive	-0.008680061380104494	0.0008196928558158494	-0.010596942025332708	-0.002232377097829811	0.0006716295779180465	0.0006398928144913775	0.0006976011644478169	-0.32685842773655416	-0.655716687906865	0.0007819652100529555	0.000635707880096652	-0.0035630707534951467
C3GActive	-0.6570431534894439	-2.2995376611396267e-07	1.8213255212546056e-07	8.537627064433979e-08	9.614761282389772e-08	2.5998985154209722e-08	1.8213255160651682e-07	6.199735926084168e-08	1.2249283699350413e-07	-0.658389619512748	4.735816004594126e-08	1.409311658071526e-07
Rap1Active	-0.6567616774503431	1.2437571728127242e-08	6.990350092402148e-08	5.381026995136191e-08	6.474790717188415e-08	5.266484374952054e-08	6.990350048430326e-08	5.6421468735239285e-08	6.918925539738197e-08	-0.658107345441978	-0.20840253633051622	6.889424734038964e-08
bRafActive	-4.914089300283229e-05	7.429997827995756e-05	-0.13694030494117967	-0.00017899836000400985	7.67340707404035e-05	0.00017706088578358636	7.225016676073557e-05	8.1097351195855e-05	7.556753533442373e-05	-0.00031869073000899705	-1.637178698977355e-05	-0.7494411271440073
