	boundEGFReceptorKnockdown	SosActiveKnockdown	RasActiveKnockdown	Raf1ActiveKnockdown	MekActiveKnockdown	ErkActiveKnockdown	P90RskActiveKnockdown	PI3KActiveKnockdown	AktActiveKnockdown	C3GActiveKnockdown	Rap1ActiveKnockdown	bRafActiveKnockdown
boundEGFReceptor	-0.6666661363200671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SosActive	0.0	-0.6582914665151605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RasActive	0.0	0.0	-0.20704060410978747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1Active	0.0	0.0	0.0	-0.29266234804381824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MekActive	0.0	0.0	0.0	0.0	-0.6159488850581216	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ErkActive	0.0	0.0	0.0	0.0	0.0	-0.48365785536021555	0.0	0.0	0.0	0.0	0.0	0.0
P90RskActive	0.0	0.0	0.0	0.0	0.0	0.0	-0.6091932192321419	0.0	0.0	0.0	0.0	0.0
PI3KActive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6596290641507974	0.0	0.0	0.0	0.0
AktActive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6553278884214203	0.0	0.0	0.0
C3GActive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6583890601439071	0.0	0.0
Rap1Active	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.20840259238648873	0.0
bRafActive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.29842154779522245
