	boundEGFReceptorKnockdown	SosActiveKnockdown	RasActiveKnockdown	Raf1ActiveKnockdown	MekActiveKnockdown	ErkActiveKnockdown	P90RskActiveKnockdown	PI3KActiveKnockdown	AktActiveKnockdown	C3GActiveKnockdown	Rap1ActiveKnockdown	bRafActiveKnockdown
boundEGFReceptor	-0.6666666123356559	2.273758072898684e-16	0.0	0.0	1.136879036449342e-16	2.273758072898684e-16	-4.577888939709814e-05	-8.935472072679145e-05	-7.197001191890684e-05	-8.222240488900069e-05	-1.0057510553555825e-05	-1.3851622435028995e-05
SosActive	-0.3556983289133054	-0.5792972564029415	0.03170333561592706	0.010742763193927854	0.35106111515083976	0.3393495786677076	0.42318397034739136	-0.0006082156400036198	-0.00971891816495541	0.2901249987759664	0.10836902869387961	0.17334163584882642
RasActive	-0.3556696784855869	-0.5792516511587206	-0.17560504573744884	0.010741456531081332	0.35101426175003614	0.3393073247454721	0.42249974282586156	-0.0005552453654484649	-0.011798472656775793	0.29181204629461255	0.11287940311412328	0.1699891312494042
Raf1Active	-0.3293851018040764	-0.5797561158181462	-0.17580125169069258	-0.2820976182098494	0.35151491495098897	0.3398022965660145	0.41920954769950475	0.08469579192059352	0.2083601096321495	0.2926936040260951	0.12190845297275107	0.17824044535253405
MekActive	-0.592091065238181	-0.10363070898577093	-0.03607467581168702	-0.01850437396475291	-0.5340045853500361	0.08607884666108617	0.11085319424417801	0.026125243349464738	0.016711962378541043	-0.3784675450890664	-0.1444858758913521	-0.22667458422645226
ErkActive	-0.5892300988478295	-0.10263951436193924	-0.03571507877504988	-0.018336125828037897	-0.5311300676775385	-0.4028232377015094	0.11004710028655819	-0.0006631046376633942	0.01490263397832981	-0.36747317290701725	-0.14624881949349272	-0.20957225396824755
P90RskActive	-0.4113633994554089	-0.10659511694047263	-0.038477328806539556	-0.013011275612084277	-0.4409444572820943	-0.42564614045855614	-0.5346931570984852	-0.0035019739467159272	0.014570056371815418	-0.354314104161703	-0.13434602805784365	-0.22486394965467243
PI3KActive	-0.16915535022338388	-6.916998450878994e-05	-2.4795839509551183e-05	1.5838388948729526e-06	6.411876428665379e-05	6.469343685779953e-05	-0.000360460695494264	-0.663685314274793	-6.523637030514679e-05	-0.0011732967596259638	-0.00030641496502992703	-0.0002932998070825384
AktActive	-0.07051653798164831	-2.523971908479229e-05	-8.970144968096438e-06	5.119802442859139e-07	2.213842261601603e-05	2.5544387733954083e-05	0.001834892658037762	-0.3245984754139349	-0.6536159404632981	-0.0002804678306970731	0.0009315456014424511	0.001499941862422073
C3GActive	-0.6570432700565931	1.7298123784532743e-15	-5.189437135359828e-16	-1.7298123784532772e-15	8.649061892266374e-16	-1.2108686649172936e-15	-1.0321360995221825e-06	-2.2011265298835673e-07	-1.0091718486917068e-07	-0.6583901054171287	-1.1301200905777314e-07	-1.0466844798909503e-08
Rap1Active	-0.6567617500221836	1.5390137890130727e-15	-2.1985911271615346e-16	-8.79436450864614e-16	4.397182254323067e-16	-4.836900479755387e-15	-1.417403655967671e-07	-1.969735377871279e-07	-2.442428843481909e-07	-0.658109203857701	-0.20840235959880993	-2.7489707917646172e-08
bRafActive	-0.6174142984918923	-0.07034422523106935	-0.0247501475214151	0.0016350015349630405	0.06258366762505904	0.06014746956143831	0.07838518100105366	0.01911327915920204	-0.001487672716843432	-0.4642204413223662	-0.1550425927399487	-0.2701527308360085
