cl	NPERT	tpr	fpr
braf	8	0.5625	0.0
braf	8	0.5625	0.02586206896551724
braf	8	0.5	0.017241379310344827
braf	8	0.5625	0.008620689655172414
braf	8	0.625	0.0
braf	8	0.375	0.034482758620689655
braf	8	0.5	0.034482758620689655
braf	8	0.375	0.017241379310344827
braf	8	0.375	0.0
braf	8	0.4375	0.034482758620689655
braf	8	0.3125	0.02586206896551724
braf	8	0.3125	0.02586206896551724
braf	8	0.4375	0.017241379310344827
braf	8	0.375	0.04310344827586207
braf	8	0.375	0.04310344827586207
braf	8	0.3125	0.008620689655172414
braf	8	0.625	0.008620689655172414
braf	8	0.5	0.034482758620689655
braf	8	0.375	0.0603448275862069
braf	8	0.4375	0.02586206896551724
braf	8	0.5	0.034482758620689655
braf	8	0.4375	0.034482758620689655
braf	8	0.3125	0.017241379310344827
braf	8	0.375	0.02586206896551724
braf	8	0.4375	0.008620689655172414
braf	8	0.4375	0.0
braf	8	0.25	0.05172413793103448
braf	8	0.25	0.04310344827586207
braf	8	0.4375	0.02586206896551724
braf	8	0.3125	0.008620689655172414
braf	8	0.5625	0.02586206896551724
braf	8	0.4375	0.04310344827586207
braf	8	0.375	0.034482758620689655
braf	8	0.1875	0.04310344827586207
braf	8	0.5625	0.02586206896551724
braf	8	0.375	0.0
braf	8	0.4375	0.04310344827586207
braf	8	0.375	0.034482758620689655
braf	8	0.375	0.04310344827586207
braf	8	0.4375	0.008620689655172414
braf	8	0.3125	0.02586206896551724
braf	8	0.3125	0.034482758620689655
braf	8	0.375	0.034482758620689655
braf	8	0.4375	0.02586206896551724
braf	2	0.1875	0.04310344827586207
braf	2	0.0625	0.0
braf	2	0.125	0.017241379310344827
braf	2	0.125	0.0
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.02586206896551724
braf	2	0.125	0.05172413793103448
braf	2	0.125	0.017241379310344827
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.02586206896551724
braf	2	0.125	0.008620689655172414
braf	2	0.125	0.02586206896551724
braf	2	0.125	0.0
