	egf	hgf	nrg1	plx	plx + egf	plx + hgf	plx + nrg1	mek	mek + egf	mek + hgf	mek + nrg1	erk	erk + egf	erk + hgf	erk + nrg1	akt	akt + egf	akt + hgf	akt + nrg1	pi3k	pi3k + egf	pi3k + hgf	pi3k + nrg1
EGFR	0.14585086646345485	0.3523017439308812	0.511500338780135	0.30339214344993476	0.2527660703799667	0.3761484858852489	0.3523017439308812	0.42269107182227916	0.14585086646345485	0.4898052676808161	-0.26918663281538907	0.22677086184702225	0.0892673380970873	0.0892673380970873	0.0892673380970873	0.0892673380970873	0.17333160288556176	0.0892673380970873	0.30339214344993476	0.11783649029385808	0.2527660703799667	0.06012099243757093	0.30339214344993476
MEK	-0.039170597280677774	0.32192809488736235	0.7625006862733437	0.4500329206350477	0.6520766965796931	0.7999753916920066	0.4118135984045574	6.108897776754605	5.79603960882977	5.531381460516312	5.688250309133178	1.9772799234999165	2.05373198393779	2.0	2.301169534720565	0.40209844357134567	1.056831222596676	2.132224292257089	2.295932886354418	0.3321964303411894	0.8508565606941907	0.7318038890504274	0.9870609442925019
ERK	0.19930880822340666	0.289506617194985	0.41503749927884376	0.289506617194985	0.24511249783653138	0.5670405927238937	0.7686744538935444	0.10309349296410372	-0.16992500144231246	-0.05444778402237646	-0.11103131238874384	-0.29545588352617136	-0.11103131238874384	0.05246741989413548	-0.11103131238874384	0.45456586346548133	0.6026645024546152	0.7045441164738286	0.9175378398080271	0.3325753390868709	0.45456586346548133	0.493040011280117	0.3743955147814979
P90RSK	0.13124453327825272	0.06711419585853703	0.797507136101257	-0.03476541816067664	-0.03476541816067664	0.41503749927884376	1.1312445332782528	0.13124453327825272	0.2515387669959644	-0.1069152039165119	0.6076825772212396	0.03394733192333753	-0.07038932789139803	0.03394733192333753	0.03394733192333753	0.22239242133644802	0.22239242133644802	0.4656635723488118	0.797507136101257	0.22239242133644802	0.13124453327825272	0.03394733192333753	0.1622714288988771
GSK3AB	0.31174261104102874	0.8869373355133641	1.5752636740023547	0.07762089712247366	0.09129583401955027	1.0287112966415275	1.5232467162347405	0.38574319248480576	0.5531999383363683	0.6762583347407065	1.5333003808986636	-0.08973016065601223	0.4771175455055394	0.9890842225208165	1.7384148108032758	0.48231645217985863	0.5432844694712857	1.0533733508757965	1.003620315678697	0.6487775983185994	0.8869373355133641	0.8632212665395566	0.9520900150386149
RPS6	0.250543461650597	0.33184356375244506	1.3899465183160133	0.07275634243531415	0.33184356375244506	0.5514099410101295	1.649813645071124	0.0489096004809465	-0.025090980962830495	0.02466205423426903	1.096215315259303	-0.05062607306996795	-0.10309349296410361	-0.10309349296410361	0.02466205423426903	0.40880554556732934	0.20810819533020028	0.6338721012021026	1.0489096004809466	0.250543461650597	0.250543461650597	0.4274212237346762	0.4639470997597903
PI3K	-0.07800251200127321	0.21150410519371182	0.4525122046975067	0.07400058144377678	-0.1604646721932461	0.27563444261342734	0.5594274086140185	0.21150410519371182	-0.1604646721932461	-0.07800251200127321	0.14438990933517493	0.07400058144377678	-0.07800251200127321	0.0	0.21150410519371182	0.07400058144377678	0.14438990933517493	0.07400058144377678	0.21150410519371182	0.3370349872775706	0.3959286763311393	0.07400058144377678	0.21150410519371182
AKT	0.2801079191927352	1.0995356735509143	5.146841388329271	0.4405725913859814	0.5501970825604795	1.6520766965796931	5.727920454563199	0.4780472968046442	0.7472339296200333	1.3219280948873624	5.301169534720565	0.23703919730084938	0.5849625007211562	0.8930847960834881	5.1799090900149345	0.36257007938470837	0.2801079191927352	0.2801079191927352	0.5501970825604795	0.23703919730084938	0.05062607306996814	0.4405725913859814	0.40209844357134567
MTOR	0.30485458152842093	0.8432744963125469	0.8898170822495771	0.19793937761190883	0.5272470028648688	0.9125371587496606	1.5418937788292701	0.2700891633677442	0.0418201756946269	0.2700891633677442	0.5272470028648688	-0.22948184612276734	0.2700891633677442	0.6938968722743202	0.9569312781081141	0.7705181538772327	0.46712601042729796	0.819427754358179	0.9569312781081141	0.5272470028648688	0.8667334691365358	1.0622842782543427	0.7705181538772327
JNK	0.13750352374993502	0.41503749927884376	0.5525410230287786	0.09310940439148145	0.04730571477835682	0.5525410230287786	0.6476982560691188	0.22239242133644802	0.3410369178350669	-0.2630344058337938	0.6780719051126377	0.13750352374993502	0.0	0.13750352374993502	0.09310940439148145	0.3025627700204313	0.37851162325372983	0.3410369178350669	0.7369655941662062	0.18057224564182084	0.48542682717024166	0.09310940439148145	0.41503749927884376
