	egf	hgf	nrg1	plx	plx + egf	plx + hgf	plx + nrg1	mek	mek + egf	mek + hgf	mek + nrg1	erk	erk + egf	erk + hgf	erk + nrg1	akt	akt + egf	akt + hgf	akt + nrg1	pi3k	pi3k + egf	pi3k + hgf	pi3k + nrg1
EGFR	0.3590810933048283	0.7243655573865726	0.6463630453852995	0.30932805810772873	0.4306343543298623	0.4537179674429037	0.4764380439429871	0.3833286395515057	0.30932805810772873	0.5639008851933265	0.5849625007211562	0.28379296600059134	0.17687776208407918	0.6057210608879536	0.6662626028230043	0.0	0.30932805810772873	-0.13124453327825267	-0.09729720135491486	0.3344190390705593	0.685891409571937	0.3344190390705593	0.3590810933048283
MEK	0.3144306188609952	0.3820346898174271	0.23213530787652295	-6.269964673265912	-5.383175283713903	-4.097018319848362	-5.953491008470658	0.9335911060576805	1.104746761025857	1.511889876497826	1.1026129605877746	0.02552271531110703	0.857372699364085	0.9157523002199924	0.4056595503729033	0.035537873708339066	0.2770753443114905	0.4239167326407616	0.08326539344275759	0.027946540502914917	0.14709169622100057	0.14038667234310986	-0.20916679513865274
ERK	0.8339900485610707	1.2837929660005913	0.3833286395515057	-0.9385994553358568	-0.6655809609294407	-0.35363695461470046	-0.5693656456701377	-0.8231222379159209	-0.7686744538935442	-0.6166713604484944	-0.31410859042806305	-0.8231222379159209	-0.8231222379159209	-0.6655809609294407	-0.27563444261342734	-0.4791678366985595	0.9682911402726618	0.5208321633014404	-0.35363695461470046	-0.03170885972733814	0.4071753815058733	0.3344190390705593	-0.23815973719476455
P90RSK	0.3890422907458993	1.561878887608115	1.2515387669959643	-0.34792330342030686	-0.1443899093351748	0.13124453327825272	0.13124453327825272	-0.18286405714981055	-0.03476541816067664	0.19264507794239583	0.8556100906648252	-0.1443899093351748	-0.3048545815284209	0.19264507794239583	0.5849625007211562	-0.18286405714981055	0.36257007938470837	0.13124453327825272	-0.07038932789139803	-0.07038932789139803	0.06711419585853703	0.1622714288988771	-0.22239242133644802
GSK3AB	0.4171390219241316	1.5364879492581989	1.8412044341998495	-0.2723176466681303	0.17784807601431535	1.5552151573271042	1.7516123701306077	-0.5032015288982177	0.4452139735368496	1.4636316071665827	1.6627436216315492	0.016727086405448514	0.3917164250442248	1.162897734548344	1.7922543546279535	-0.45628048151072537	0.508672571390074	0.31940222022833453	0.14779084215813562	-0.21749362192360863	0.10149718988420058	0.42968427524324515	-0.10918181088845699
RPS6	1.528694281074411	2.1353518528948863	1.951905711798955	-0.6828098241193007	-0.4071753815058735	0.29808135293299465	0.27871602806606355	-0.5731853329448027	-0.2583119955913906	0.06926266243711379	1.3266505051297655	-0.2302976194217942	-0.12338241550528213	0.04654258593703024	0.623851514114751	-0.43888424123321146	0.33604920313201514	-1.843274496312547	-0.14937762403822666	-0.37614848588524896	-0.09784732339814455	-0.07275634243531424	-0.3457748368417301
PI3K	0.506959988719883	0.658963082164933	0.506959988719883	-0.24792751344358557	0.14438990933517493	0.21150410519371182	0.21150410519371182	-0.07800251200127321	0.07400058144377678	0.21150410519371182	0.07400058144377678	0.21150410519371182	0.21150410519371182	0.21150410519371182	0.5594274086140185	-0.07800251200127321	-0.07800251200127321	-0.4405725913859815	-0.24792751344358557	0.0	0.14438990933517493	0.0	-0.07800251200127321
AKT	1.8972404255747992	5.294620748891627	7.338959175415203	0.722466024471091	2.7441610955704103	5.483815777264256	7.16867211813223	1.1375035237499351	3.350497247084133	5.937815168803419	7.4030120235749965	0.13750352374993502	2.7059779016825223	4.921245888585589	7.353367404206698	-0.4150374992788438	-0.07400058144377693	-0.7369655941662062	-0.3219280948873623	-0.1124747292584125	0.0	-0.15200309344504995	-0.23446525363702297
MTOR	0.6648158084103709	1.2790726159255652	0.9911761496129938	-0.3131578852596302	0.24236083756904392	0.9643760902692786	0.9733648734965332	-0.3131578852596302	0.4498029174395205	0.7819993477807098	1.0261522878559686	0.0687127500840143	0.13430109171159113	0.5004289905094883	0.861616515844078	-0.035623909730721375	0.3148733373534119	0.13430109171159113	-0.20780488511340164	-0.20780488511340164	0.18160680648994756	0.39733549754538494	-0.12873331412220276
JNK	0.49957100949051153	1.9749090190371694	1.4274212237346762	-0.27301849440641596	0.09621531525930298	0.2713020218173943	0.38994651831601335	0.14201900487242786	-0.05062607306996795	0.4639470997597903	1.0	0.22948184612276717	0.3119440063147403	0.49957100949051153	1.024662054234269	0.3119440063147403	0.5343364276511882	-0.46566357234881184	-0.10309349296410361	0.3119440063147403	0.4639470997597903	0.4274212237346762	-0.2141248053528475
CJUN	0.5145731728297582	1.0	0.8115549105868897	-0.5272470028648688	-0.4052564784862585	0.02914634565951651	-0.12285674778553347	-0.25715783949712445	-0.36678233067162275	-0.09114788805819528	0.11321061044799109	-0.36678233067162275	-0.22239242133644802	-0.06012099243757091	0.08572987402588404	-0.29278174922784583	-0.06012099243757091	-0.22239242133644802	-0.36678233067162275	-0.12285674778553347	0.02914634565951651	-0.09114788805819528	-0.029747343394052068
P38	0.2667865406949014	0.5391588111080314	0.3923174227787603	-0.11735695063815874	-0.24511249783653147	0.044394119358453436	-0.06926266243711372	-0.24511249783653147	-0.2186402864753404	0.12928301694496647	0.12928301694496647	-0.04580368961312479	-0.04580368961312479	0.044394119358453436	0.12928301694496647	-0.06926266243711372	0.0	-0.06926266243711372	-0.4150374992788438	-0.09310940439148147	-0.02272007650008353	0.0874628412503394	-0.19264507794239588
