	egf	hgf	nrg1	plx	plx + egf	plx + hgf	plx + nrg1	mek	mek + egf	mek + hgf	mek + nrg1	erk	erk + egf	erk + hgf	erk + nrg1	akt	akt + egf	akt + hgf	akt + nrg1	pi3k	pi3k + egf	pi3k + hgf	pi3k + nrg1
EGFR	-0.38529015588479176	-0.4764380439429871	-0.4764380439429871	-0.5405683813627028	-0.2720795454368008	-0.19264507794239588	0.044394119358453436	-0.8300749985576876	-0.16710998583525832	-0.6780719051126377	0.14974711950468206	0.14974711950468206	-0.3275746580285044	-0.2186402864753404	-0.4764380439429871	0.10852445677816905	0.16992500144231237	-0.38529015588479176	-0.38529015588479176	-0.24511249783653147	-1.415037499278844	-1.5405683813627027	-1.0931094043914815
MEK	-0.6035640596665369	-0.5495242199536476	0.05754494888785739	-6.3150589663166246	-6.87145231484101	-6.3150589663166246	-6.3442053119761415	-1.5442299202841347	0.36891814065897743	0.29611341372738	0.692585064561389	-0.16693833519266096	-0.9561001404842955	-0.5363247221987886	-0.6403723463886257	-0.40193019849688644	-1.7889901546490372	-0.543173387801259	-0.5258513909692801	-0.6857023462370153	-1.189903834994335	-4.467062059761675	-6.4994835374540525
ERK	-0.5334322000810741	-1.1963972128035034	-2.321928094887362	-1.6114347120823473	-1.8744691179161412	-1.1963972128035034	-1.026472211361191	-2.4594316186372973	-1.3890422907458992	-1.4594316186372973	-0.6938968722743203	-1.1963972128035034	-1.6938968722743202	-1.533432200081074	-1.8744691179161412	-0.4594316186372972	-1.4594316186372973	-1.137503523749935	-0.8744691179161412	-0.9233787183970876	-1.4594316186372973	-2.4594316186372973	-1.9740047914670555
P90RSK	-0.3301486016923309	-2.0	-2.137503523749935	-0.4594316186372972	-2.4594316186372973	-1.0	-0.2895066171949848	-2.652076696579693	-1.8744691179161412	-0.21150410519371174	0.5629361943911573	-0.21150410519371174	-0.8744691179161412	-0.6014506235097252	-0.06711419585853691	-0.758991900496205	-1.6520766965796931	-0.8155754288625724	-2.137503523749935	-0.7045441164738286	-1.137503523749935	-2.652076696579693	-2.652076696579693
GSK3AB	-0.5355602606448853	-1.6764960501870985	-5.515699838284043	-0.42558741861975374	-0.8503639210988664	0.5796971845085142	0.49552741713921167	-0.7541486058395631	0.8363435875113907	0.0617289897517063	1.2835817832378795	0.29647746723040486	-0.48503270203710114	0.21561919274102173	0.35157890142561943	0.09901000583116586	-1.614833030303294	-0.6148330303032941	-0.21420364330149344	-0.2583119955913906	-3.267772324840457	-3.900989994168834	-0.7115688171007248
RPS6	-1.0995356735509143	-2.736965594166206	-3.0995356735509145	-0.8194277543581792	-2.9068905956085187	-0.38332863955150553	0.8345763907926285	-3.0995356735509145	-2.9068905956085187	-1.0	2.191141487352008	-0.5145731728297583	-0.6974372299795687	-0.777607578663552	0.6009040445901777	-1.4474589769712214	-2.584962500721156	-1.3219280948873622	-2.584962500721156	-0.8194277543581792	-1.8194277543581792	-3.0995356735509145	-1.7369655941662063
PI3K	-0.3219280948873623	-0.3959286763311392	-0.5563933485243852	-0.6438561897747247	-0.9434164716336325	-0.5563933485243852	-0.3959286763311392	-1.0588936890535685	-0.4739311883324124	-0.3219280948873623	0.0	-0.3219280948873623	-0.7369655941662062	-0.3959286763311392	-0.25153876699596445	-0.3959286763311392	-0.5563933485243852	-0.5563933485243852	-0.9434164716336325	-0.5563933485243852	-0.8365012677171204	-1.0588936890535685	-0.7369655941662062
AKT	0.3198204319253711	1.130786607535354	3.5770428374249184	0.08187700705440766	0.5240197364958494	1.9271074793179817	3.7443182604532814	0.3282326717415712	2.219380530804343	2.591965888458919	5.127777857663016	-0.20321431965258313	-2.6386004643232295	1.2148508723238287	3.656855419202942	-1.9687490660155602	-2.2906771609029226	-1.9687490660155602	-2.5744701269035137	-2.0105692417101872	-2.7761039880731646	-3.6386004643232295	-3.191141487352008
MTOR	0.020177881937630274	-0.4915356367528872	0.10764072318796958	-0.6105883083966507	-0.4355016018385594	-0.3168571053399403	-0.3683874059800225	-1.6261851634476692	-0.2917661243771099	-0.6740136885382841	0.3894116916033494	-0.020464102559715577	-0.2308838822300876	0.19010288337994272	0.09818039393890331	-0.7234823648025842	-1.7574296967259218	-1.0622842782543427	-0.9599225606246649	-0.9209284290088013	-2.690315500867385	-2.29176612437711	-1.2190097819417958
JNK	-0.3719687773869579	-0.8744691179161412	-1.137503523749935	-0.13750352374993496	-1.137503523749935	-0.6520766965796931	0.24100809950379498	-1.2895066171949847	-0.8744691179161412	-0.21150410519371174	0.7104933828050152	-0.2895066171949848	-0.13750352374993496	-0.13750352374993496	-0.6520766965796931	-0.5525410230287788	-1.137503523749935	-0.3719687773869579	-1.137503523749935	-0.21150410519371174	-1.2895066171949847	-1.2895066171949847	-1.137503523749935
