	egf	hgf	nrg1	plx	plx + egf	plx + hgf	plx + nrg1	mek	mek + egf	mek + hgf	mek + nrg1	erk	erk + egf	erk + hgf	erk + nrg1	akt	akt + egf	akt + hgf	akt + nrg1	pi3k	pi3k + egf	pi3k + hgf	pi3k + nrg1
EGFR	0.06558834162757689	-0.1783372412585124	0.1884450894131103	-0.0687127500840142	0.033166863935199374	-0.7258250365610058	0.1884450894131103	-0.03394733192333771	-0.3388019134517586	-0.14086253583984967	0.1884450894131103	0.15869774601905823	0.12832409697553937	0.06558834162757689	0.0972972013549148	-0.1783372412585124	0.21759143507262685	-0.2563397532597855	-0.2563397532597855	0.033166863935199374	0.033166863935199374	-0.10433665981473561	0.15869774601905823
MEK	0.16992500144231237	-0.19264507794239588	0.16992500144231237	0.16992500144231237	-0.2995602818589078	-0.2995602818589078	0.16992500144231237	-0.09310940439148147	-0.2995602818589078	0.0874628412503394	0.16992500144231237	0.32192809488736235	0.0874628412503394	0.0	0.0	-0.4150374992788438	0.0	0.16992500144231237	-0.2995602818589078	0.16992500144231237	-0.09310940439148147	-0.4150374992788438	0.0874628412503394
ERK	0.22239242133644802	0.15200309344505006	0.289506617194985	-0.16992500144231246	-0.08246216019197299	-0.2630344058337938	0.22239242133644802	-0.08246216019197299	-0.08246216019197299	0.15200309344505006	0.22239242133644802	0.22239242133644802	0.22239242133644802	0.15200309344505006	0.22239242133644802	-0.46948528330122025	0.22239242133644802	0.0	0.07800251200127316	0.07800251200127316	0.15200309344505006	-0.2630344058337938	0.0
P90RSK	0.16992500144231237	-0.2630344058337938	0.22239242133644802	-0.061400544664143256	-0.12553088208385899	-0.2630344058337938	0.058893689053568614	-0.4974996594708167	-0.4974996594708167	-0.12553088208385899	0.058893689053568614	0.22239242133644802	-0.061400544664143256	0.058893689053568614	0.0	-0.2630344058337938	0.0	-0.12553088208385899	-0.19264507794239588	0.058893689053568614	-0.061400544664143256	-0.19264507794239588	-0.12553088208385899
GSK3AB	0.07800251200127316	-0.02696704760026932	0.17584983539941762	-0.11103131238874384	0.0	0.07800251200127316	0.19930880822340666	-0.08246216019197299	0.0	0.05246741989413548	0.026472211361191177	0.07800251200127316	0.05246741989413548	-0.11103131238874384	0.07800251200127316	-0.29545588352617136	0.0	0.05246741989413548	0.0	0.15200309344505006	-0.05444778402237646	0.0	0.22239242133644802
RPS6	0.9027027986450852	-0.03170885972733814	0.9027027986450852	-0.16600995143892924	-0.27563444261342734	-1.4360991148066735	1.0	0.4537179674429037	-1.3536369546147005	0.17687776208407918	1.0155968550510186	0.031026895620624637	0.4537179674429037	0.17687776208407918	0.6057210608879536	-0.03170885972733814	0.17687776208407918	0.06140054466414327	-0.35363695461470046	-0.3942789391120463	0.28379296600059134	0.06140054466414327	0.031026895620624637
PI3K	0.0	0.2630344058337938	0.18057224564182084	0.0	-0.0995356735509144	0.0	0.0	-0.3219280948873623	0.18057224564182084	0.0	0.09310940439148145	0.09310940439148145	0.0	0.18057224564182084	0.0	-0.3219280948873623	0.0	0.0	-0.3219280948873623	0.2630344058337938	0.0	-0.0995356735509144	0.18057224564182084
AKT	0.20645087746742624	0.10691520391651188	0.4288432988038744	0.253756592245783	-0.17687776208407935	-0.3785116232537297	0.29956028185890793	0.0544477840223765	-0.6129768768907528	0.253756592245783	0.29956028185890793	0.10691520391651188	0.0544477840223765	0.29956028185890793	0.253756592245783	-0.24100809950379493	-0.17687776208407935	0.10691520391651188	-0.3785116232537297	0.29956028185890793	0.10691520391651188	-0.24100809950379493	-0.1154772174199359
MTOR	0.0	0.14438990933517493	0.21150410519371182	0.07400058144377678	-0.4405725913859815	-0.4405725913859815	0.27563444261342734	-0.34103691783506696	-0.6629650127224294	0.07400058144377678	0.21150410519371182	0.27563444261342734	0.0	0.21150410519371182	0.21150410519371182	-0.6629650127224294	-0.24792751344358557	0.14438990933517493	-0.07800251200127321	0.21150410519371182	-0.1604646721932461	0.07400058144377678	0.21150410519371182
JNK	0.16992500144231237	0.0	0.32192809488736235	0.0874628412503394	-0.19264507794239588	-0.2995602818589078	0.16992500144231237	-0.19264507794239588	0.0874628412503394	0.0	0.16992500144231237	0.32192809488736235	0.0874628412503394	0.0874628412503394	0.0874628412503394	-0.19264507794239588	-0.09310940439148147	0.0874628412503394	-0.09310940439148147	0.2479275134435855	0.0874628412503394	-0.19264507794239588	-0.09310940439148147
