	egf	hgf	nrg1	plx	plx + egf	plx + hgf	plx + nrg1	mek	mek + egf	mek + hgf	mek + nrg1	erk	erk + egf	erk + hgf	erk + nrg1	akt	akt + egf	akt + hgf	akt + nrg1	pi3k	pi3k + egf	pi3k + hgf	pi3k + nrg1
EGFR	0.6560455987826387	0.6835263352047457	0.7369655941662062	-0.09019780897157814	0.18442457113742758	-0.044394119358453395	-0.31647366479525435	-1.8744691179161412	0.14543043952156368	0.25938662881864955	0.3479233034203068	0.0	0.510194732319184	0.12553088208385882	0.41503749927884376	-0.21150410519371174	0.20353339408513216	0.3131578852596303	-0.11365678179556724	-0.31647366479525435	-0.5849625007211563	-0.2630344058337938	-0.2630344058337938
MEK	0.06921518236957666	0.7028011977484899	0.5906908314269524	-6.2536786796235075	-2.3605938835400195	-2.4629811015195116	-4.84186508121895	0.36208230846598916	2.0005063568490318	1.9448540609894476	1.761835934202845	0.06792734917458586	1.6771642377294578	1.6027468490020234	1.4906746599395768	-0.30072947639472936	0.18867245528859283	0.6445987856803029	0.600967117037369	-0.8873564653776915	-0.9902417922580508	-0.16129905932360036	-0.16470119777116968
ERK	2.584962500721156	3.124891247827809	2.2267708618470223	-0.9696263509564813	1.3761484858852489	1.0453239905094902	0.2527660703799667	-2.232660756790275	0.7308133671846109	0.7852611512069873	0.5328739895727022	-1.09515723304034	0.6352357072023798	0.14585086646345485	0.693338661765948	0.9372642446520374	2.9211445792887605	3.0820357688660116	1.767339243209725	-0.384663850235325	0.9211445792887604	2.2267708618470223	1.2267708618470223
P90RSK	1.920565532505595	2.415037499278844	2.893084796083488	-0.22239242133644802	1.1312445332782528	1.1775381855521876	1.0170735133589415	-2.222392421336448	1.0995356735509143	1.3219280948873624	1.797507136101257	-0.03476541816067664	1.3758669019981662	1.0506260730699681	2.067114195858537	-0.5343364276511882	0.538419914784126	0.4656635723488118	0.09953567355091437	-0.3048545815284209	-0.22239242133644802	-0.07038932789139803	-0.5849625007211563
GSK3AB	0.6523308487940188	0.7888637322017408	0.7561295987024308	-0.43379842738750546	0.30618535834161525	0.5025003405291834	0.2868353122957623	-0.5436217053402567	0.46146358381952624	0.6909454299422935	0.49060992947904275	-0.02823368072894404	0.4296419121876156	0.48062584090642063	0.44717935781327856	-0.33703498727757075	0.049468676264299904	0.4087329224246348	0.25672982897958485	-0.7397642275188797	-0.5436217053402567	0.2055186027720518	-0.15635887216301766
RPS6	3.2854022188622483	4.2976805486406855	4.604862058158861	-0.09310940439148147	2.3339007365534385	2.8244284354165456	3.0149503414659717	-2.777607578663552	3.562242424221073	3.2823162389885057	1.6342060197410053	-0.12553088208385899	0.5647846187835259	1.9541963103868751	3.4757334309663976	-0.8845227825800641	1.222392421336448	0.5443205162238102	0.45943161863729726	-0.37550913509220635	-0.6780719051126377	-0.6780719051126377	-0.4974996594708167
PI3K	0.8930847960834881	1.2801079191927351	1.7162070339994087	-0.22239242133644802	0.13124453327825272	0.06711419585853703	0.36257007938470837	-0.3048545815284209	0.561878887608115	0.5145731728297582	0.6076825772212396	-0.07038932789139803	0.6076825772212396	0.6951454184715792	1.0	-0.39231742277876036	0.0	-0.07038932789139803	-0.22239242133644802	-0.07038932789139803	-0.3048545815284209	-0.3048545815284209	-0.39231742277876036
AKT	1.5315232417596958	3.271208337279494	6.540568381362703	0.3271647432535095	2.131529622705302	4.093621634129115	4.045188773766255	-1.0809199953835675	5.082826431129621	5.798898853975128	5.753915663096143	0.0	3.9190800046164327	3.619519722757525	6.554867875958729	-0.9740047914670557	-0.2577977574676468	-0.4238077089065759	-0.6114347120823472	-0.38904229074589924	-0.8744691179161412	-0.7813597135246597	-0.8744691179161412
MTOR	0.5940076403241633	0.9931787341439858	1.1175695963811763	-0.3356030317844388	0.35954238668714017	0.5104842847618798	0.45198863545173534	-3.142957953842043	-1.0	0.5482039507110383	0.5008982359326816	-0.06970897181140442	0.5200070588803862	0.4717518902731652	0.46190410431681794	-0.6193959977850302	-0.11321061044799094	0.1300605405643729	0.0	-0.7737241441763241	-0.2849769587144708	-0.26848883592590184	-0.3703684499451154
JNK	2.3645724322958563	2.689299160535892	2.990954860396993	-0.3219280948873623	0.765534746362977	1.1043366598147355	1.632268215499513	-1.0	0.765534746362977	1.4594316186372973	1.6553518286125541	0.0	1.0356239097307212	0.6780719051126377	2.070389327891398	-0.5145731728297583	0.2016338611696504	0.070389327891398	-0.4150374992788438	-0.07400058144377693	-0.3219280948873623	-0.3219280948873623	-0.15200309344504995
CJUN	1.874469117916141	2.584962500721156	2.9719856238304034	-0.07594885323329863	1.0896372124846765	1.253756592245783	0.036525876025113875	-1.963474123974886	1.222392421336448	1.2381597371947646	1.5347767435529394	0.036525876025113875	1.253756592245783	0.6214883767462702	1.7698802166389411	-0.47804729680464425	0.645335118700638	0.29956028185890793	0.036525876025113875	-0.1154772174199359	-1.1154772174199359	-0.9634741239748861	-0.1979393776119089
P38	0.7948855700953876	1.1087763459173319	0.9378435239374306	-0.30895024088915224	0.20992306937423136	0.05122532335517319	-0.7603295872317165	-3.2051144299046124	-0.3750394313469247	0.22487341084020304	0.22487341084020304	-0.12711191790333934	0.5907448533151624	0.17954942033071272	0.4704506195974504	-0.3526716183184703	0.17954942033071272	0.22487341084020304	-0.14622074085104383	-0.6471189767837257	-1.9156078127096274	-0.3306453119884713	-0.165586065717975
IKBA	0.9761532580456322	1.69131448189349	2.0176298940217916	-0.17584983539941776	0.49552741713921167	0.6691755046242414	-0.04809428820104507	-2.9307373375628862	0.7131188522118385	0.8107296488382606	1.2291339992155033	-0.12338241550528213	0.7835081801032363	0.37304341061421675	1.0465425859370303	-0.538419914784126	0.21900978194179574	0.06926266243711379	-0.12338241550528213	-0.37614848588524896	-1.4071753815058734	-0.843274496312547	-0.4071753815058735
P53	1.5493385909904347	1.7085371858396887	2.462626957797104	-0.27008916336774436	0.39733549754538494	0.6424479953819163	0.10187961401921365	-1.6571122864769916	0.4753380095466579	0.9643760902692786	1.0687127500840143	0.13430109171159113	1.286304185156641	0.8123729968242287	1.6424479953819164	-0.5501970825604795	0.2274104961030724	0.10187961401921365	-0.22826898767311726	-0.3575520046180836	-0.713695814843359	-0.5501970825604795	-0.4506614090095652
SMAD2	1.5090136474878577	2.3145106233248796	2.4959574946624112	-0.1154772174199359	0.7369655941662062	0.9240511467667014	0.29956028185890793	-1.8259706002249512	1.1069152039165118	1.0544477840223765	1.3870231231092474	-0.24100809950379493	1.1740293997750488	0.7145977811377516	1.6687940915246269	-0.7618402628052354	0.29956028185890793	-0.15611920191728185	-0.07594885323329863	-0.28540221886224837	-0.33120590847537323	-0.5305147166987798	-0.33120590847537323
